N-500_2023_01_17-07_40_58_PM,0.31,0.34,0.68,17.42,4.34,9.29,9.91,10.31,2.19,0.29,,,
N-1000_2023_01_17-07_48_57_PM,0.52,0.38,1,54.49,6.53,54.67,54.92,55.08,3.93,0.74,,,
Ns-20_2023_01_17-07_50_47_PM,0.97,0.69,1.89,24.37,8.45,25.03,25.18,25.35,8.07,0.57,,,
Ns-100_2023_01_17-07_52_52_PM,1.66,1.39,3.17,75.46,69.94,75.62,76.12,76.32,69.41,3.29,,,
Ns-200_2023_01_17-07_54_39_PM,1.68,1.25,0.33,49.35,56.51,49.79,49.93,50.19,56.53,7.19,,,
k-5_2023_01_17-07_58_39_PM,1.62,1,2.5,12.76,44.91,12.62,12.91,13.21,44.37,3.28,,,
k-10_2023_01_17-08_00_17_PM,2.11,0.89,2.68,20.87,33.03,20.88,21.06,21.25,32.26,3.26,,,
N-500_2023_01_18-12_38_26_PM,0.62,0.51,1.52,1,1.37,9.6,1.53,10.46,10.58,10.78,3.93,0.39,0.32
N-500_2023_01_18-12_39_34_PM,0.12,0.09,0.62,0.58,2.21,6.25,1.05,6.84,7.19,7.5,3.87,0.31,0.32
N-500_2023_01_18-12_41_10_PM,0.27,0.34,0.93,0.59,2.72,7.45,1.64,7.69,8.2,8.56,3.76,0.33,0.32
N-500_2023_01_18-12_42_11_PM,0.32,0.28,0.71,0.63,2.44,10.1,1.17,10.87,11.18,11.46,3.69,0.27,0.32
N-500_2023_01_18-12_43_30_PM,0.26,0.3,0.82,0.65,2.25,28.95,1.73,29.17,29.4,29.54,3.79,0.39,0.33
N-500_2023_01_18-12_44_38_PM,0.36,0.6,0.7,0.62,2.37,22.88,1.4,23.17,23.4,23.5,3.85,0.28,0.32
N-500_2023_01_18-12_45_46_PM,0.23,0.24,0.42,0.58,2.25,19.52,1.79,19.87,20.07,20.3,3.75,0.45,0.32
N-500_2023_01_18-01_05_52_PM,0.18,0.22,0.71,0.68,2.19,15.51,1.24,15.85,16.04,16.22,3.97,0.26,0.32
N-500_2023_01_18-01_03_52_PM,0.29,0.21,0.15,0.65,1.88,8.52,2,9.43,9.64,9.9,3.58,0.45,0.32
N-500_2023_02_01-10_17_01_AM,1.27,1.14,2.67,1.47,1.5,291.72,127.39,291.62,292.14,292.41,127.02,0.65,3.25
N-1000_2023_01_18-12_47_08_PM,0.19,0.59,1.43,1.16,2.09,10.9,2.19,11.83,11.88,12.01,4.47,0.38,0.8
N-1000_2023_01_18-12_49_35_PM,1.54,0.79,2.42,1.5,1.75,10.75,1.46,11.37,11.5,11.69,5.48,0.4,0.78
N-1000_2023_01_18-12_51_38_PM,0.33,0.39,0.33,1.05,1.88,8.02,1.83,8.97,9.25,9.44,4.07,0.37,0.78
N-1000_2023_01_18-12_52_58_PM,0.95,0.75,1.96,1.83,2.6,57.11,1.93,57.33,57.4,57.45,4.39,0.37,0.79
N-1000_2023_01_18-12_54_22_PM,0.27,0.51,1.32,1.07,2.03,12.79,2.82,13.69,13.99,14.21,4.17,0.47,0.79
N-1000_2023_01_18-12_55_24_PM,1.6,0.74,1.76,1.72,1.49,40.74,2.03,41.04,41.28,41.76,5.11,0.37,0.79
N-1000_2023_01_18-12_56_25_PM,0.43,0.34,0.9,1.19,2.22,41.06,2.68,40.69,41.11,41.68,4.13,0.45,0.8
N-1000_2023_01_18-01_00_26_PM,1.16,0.84,1.92,1.39,1.44,105.03,3.18,105.42,105.46,105.51,4.94,0.51,0.79
N-1000_2023_01_18-01_02_38_PM,0.26,0.27,1.08,1,1.83,44.75,2.72,44.95,45.26,45.39,4.03,0.51,0.78
N-1000_2023_02_01-10_19_19_AM,1.57,0.92,2.81,1.3,1.22,13.8,13.7,14.41,14.55,15.09,13.86,0,7.1
Ns-200_2023_02_01-10_22_14_AM,0.54,0.56,3.16,1.08,1.13,163.93,123.84,164,164.44,165.52,123.75,0.41,7.13
Ns-200_2023_02_01-10_25_12_AM,1.53,1.17,1.02,1.23,1.24,7.33,3.54,7,7,7.19,4.49,0.41,7.12
Ns-200_2023_02_01-10_26_40_AM,1.34,1.06,1.72,1.05,1.25,92.96,68.28,93.18,93.58,93.91,68.3,0.45,7.14
Ns-200_2023_02_01-10_28_13_AM,1.81,1.02,2.39,1.44,1.18,24,9.08,24.71,24.71,26.53,9.2,0,7.22
Ns-200_2023_02_01-10_30_19_AM,1.46,1.26,2.49,1.24,1.37,14.01,15.2,14.24,14.35,14.93,15.53,0,7.21
Ns-200_2023_02_01-10_31_30_AM,1.08,1.3,2.75,1.03,1.32,168.53,110.68,168.66,169.01,169.28,110.74,0.41,7.15
Ns-200_2023_02_01-10_34_05_AM,1.43,0.93,2.56,1.08,1.15,15.32,14.93,15.39,15.7,15.98,14.74,0.58,7.1
Ns-200_2023_02_01-10_35_43_AM,1.1,0.61,2.85,1.16,1.04,18.21,195.22,16.75,18.13,18.51,195.17,0,7.13
Ns-200_2023_02_01-10_37_43_AM,1.23,1,3.3,0.99,1.11,9.27,7.09,9.47,9.28,9.47,7.15,0.53,7.19
Ns-200_2023_02_01-10_39_03_AM,2.44,1.01,2.92,1.12,1.37,114.17,133.9,114.74,114.98,115.21,134,0,7.31
k-5_2023_02_01-10_40_57_AM,0.93,0.91,2.44,1.79,1.84,11.42,23.35,11.68,11.89,12.29,22.94,0.37,3.38
k-5_2023_02_01-10_43_09_AM,1.29,0.94,2.62,1.25,1.22,170,56.39,169.85,170.26,170.48,55.93,0.52,3.23
k-5_2023_02_01-10_44_14_AM,1.39,1.18,2.45,1.3,1.56,112.2,23.32,112.17,112.47,112.67,23.14,0.37,3.35
k-5_2023_02_01-10_45_20_AM,0.48,0.89,2.4,1.16,1.32,56.07,33.44,55.85,56.47,56.92,33.33,0.58,3.27
k-5_2023_02_01-10_46_33_AM,1.09,0.86,1.11,0.96,0.98,76.98,68.66,77.18,77.75,78.04,68.14,0.58,3.24
k-5_2023_02_01-10_50_32_AM,1.49,1.11,2.63,1.56,1.53,118.11,51.5,118.15,118.44,118.62,51.39,0.45,3.37
k-5_2023_02_01-10_51_49_AM,1.09,0.76,2.03,1.98,1.61,61.45,64.19,61.67,61.91,62.34,63.85,0.26,3.36
k-5_2023_02_01-10_53_08_AM,1.01,0.98,2.08,1.43,1.75,38.43,37.29,39.02,39.25,39.45,37.03,0.26,3.3
k-5_2023_02_01-10_54_37_AM,0.63,0.57,1.69,2.23,1.57,36.29,35.33,36.13,37.08,37.48,35.03,0.26,3.31
k-5_2023_02_01-10_55_42_AM,1.27,0.93,2.98,2.28,1.14,75.62,27.65,75.6,75.88,76.04,27.49,0.37,3.38
